算法名,算法用途,算法困难问题类型,具体算法困难问题,作者团队,官网链接,源代码链接,标准化文件链接,所有评论,算法特色简介,算法后续进展
NewHope,密钥封装,格,Ring Learning with Errors (Ring-LWE) problem,Thomas Poppelmann 等,http://newhopecrypto.org/,https://github.com/newhopecrypto/newhope,https://newhopecrypto.org/data/NewHope_2019_07_10.pdf,"https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/NewHope-official-comment.pdf

https://csrc.nist.gov/CSRC/media/Projects/post-quantum-cryptography/documents/round-2/official-comments/NewHope-round2-official-comment.pdf",NewHope是一种基于环上学习同余问题（RLWE）的后量子密码学密钥封装机制（KEM），其在性能上表现出色，具有较高的安全性和效率，相较于其他方案如NTRUencrypt，它在保持较高安全性的同时，拥有更小的密钥和密文尺寸。,在 NIST 第二轮中未能胜出，无缘NIST标准化。
ThreeBears,密钥封装,格,Integer Module  Learning with Errors (I-MLWE) problem,Mike Hamburg,https://sourceforge.net/projects/threebears/,https://sourceforge.net/p/threebears/code/ci/master/tree/,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round2/ThreeBears/documentation.pdf,"https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/ThreeBears-official-comment.pdf

https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-2/official-comments/Three-Bears-round2-official-comment.pdf",ThreeBears是一种基于整数模块学习与错误（I-MLWE）问题的后量子密钥封装机制（KEM），其安全性依赖于I-MLWE问题的难度，且在性能上通过使用较大的维度和较低的噪声来提高效率，同时采用前向纠错码减少解密失败的概率。相比其他方案，如Kyber和NewHope，ThreeBears在设计上更具创新性，但同时也面临一些局限性，例如缺乏广泛的研究和实现上的复杂性。,在 NIST 第二轮中未能胜出，无缘NIST标准化。
Round5,密钥封装,格,Learning With Rounding (LWR) and Ring Learning With Rounding (RLWR) problem,Oscar Garcia-Morchon 等,https://round5.org/,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-2/submissions/Round5-Round2.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round2/Round5_submission(oscar.garcia-morchon%40philips.com)/Round5_Submission.pdf,"https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/HILA5-official-comment.pdf

https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/Round2-official-comment.pdf

https://csrc.nist.gov/CSRC/media/Projects/post-quantum-cryptography/documents/round-2/official-comments/Round5-round2-official-comment.pdf","Round5是一种基于格的密钥封装机制（KEM），它结合了Round2和HILA5的方案，通过统一的设计实现了LWR（学习带余数）和RLWR（环学习带余数）问题的无缝集成，并且在性能上具有较小的公钥和密文大小、灵活的参数配置以及高效的实现特性。
",在 NIST 第二轮中未能胜出，无缘NIST标准化。
LAC,密钥封装,格,Ring Learning with Errors (Ring-LWE) problem,路献辉 团队,,https://github.com/sageblue000/pqc_collect/tree/master/implementation/LAC,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round2/LAC/LAC.pdf,"https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/LAC-official-comment.pdf

https://csrc.nist.gov/CSRC/media/Projects/post-quantum-cryptography/documents/round-2/official-comments/LAC-round2-official-comment.pdf",LAC 是基于 Ring-LWE 的格基密钥封装（KEM）方案，安全性来自（环）学习误差问题；通过采用字节级模数 q=251、固定汉明重误差分布与 BCH 纠错以压缩公钥/密文并简化实现，但因不使用 NTT、主要依赖 AVX2 向量化，计算性能通常不及 NTT 型方案（如 Kyber），且需应对极小概率的解密错误。,在 NIST 第二轮中未能胜出，无缘NIST标准化。
LEDAcrypt,密钥封装,编码,Syndrome Decoding problem (SDP) of Quasi-Cyclic Low-Density Parity-Check (QC-LDPC) codes,Marco Baldi 等,https://www.ledacrypt.org/,https://github.com/LEDAcrypt,https://www.ledacrypt.org/documents/LEDAcrypt_spec_2_5.pdf,"https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/LEDAkem-official-comment.pdf

https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/LEDApkc-official-comment.pdf

https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-2/official-comments/LEDAcrypt-round2-official-comment.pdf",LEDAcrypt 是一种基于准循环低密度校验码（QC-LDPC）的 McEliece/Niederreiter 家族KEM：其安全性建立在随机线性码译码/综合译码（SDP）困难与信息集译码（ISD）攻击代价之上；性能上利用 QC-LDPC 的快速译码与结构化公钥实现较传统 Goppa-McEliece 更紧凑与更快，但存在非零解码失败率且公钥/密文仍明显大于主流格基方案（如 Kyber）的带宽开销。,在 NIST 第二轮中未能胜出，无缘NIST标准化。
ROLLO,密钥封装,编码,Rank Syndrome Decoding (RSD) problem of Low Rank Parity Check (LRPC) code,Nicolas Aragon 等,https://pqc-rollo.org/,https://pqc-rollo.org/doc/rollo-reference-implementation_2020-04-21.zip,https://pqc-rollo.org/doc/rollo-specification_2020-04-21.pdf,"https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/LAKE-official-comment.pdf

https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/LOCKER-official-comment.pdf

https://csrc.nist.gov/CSRC/media/Projects/post-quantum-cryptography/documents/round-2/official-comments/ROLLO-round2-official-comment.pdf",ROLLO 是一种基于秩度量的编码类后量子密钥封装方案（KEM）。它的安全性建立在秩综合译码困难问题（RSD）及其推广形式上，是传统汉明距离下综合译码问题的秩度量对应形式。在性能方面，ROLLO 由于采用低秩校验码（LRPC）和理想秩码结构，能实现较小的密钥尺寸与常时间解码，效率优于传统 Goppa-McEliece 方案；但其密文相对更大，且秩度量领域研究历史较短，安全假设的成熟度与审查程度略低。,在 NIST 第二轮中未能胜出，无缘NIST标准化。
qTESLA,签名,格,Ring Learning with Errors (Ring-LWE) problem,Nina Bindel 等,http://www.qtesla.org/,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-2/submissions/qTESLA-Round2.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round2/NIST_submission_round2_Mar2019/qTESLA_round2_04.2019.pdf,"https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/qTESLA-official-comment.pdf

https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-2/official-comments/qTESLA-round2-official-comment.pdf",qTESLA 是一种基于格的后量子数字签名方案，其安全性建立在决策型环上学习误差问题（R-LWE）的困难性上。它采用 Fiat–Shamir with Aborts 框架（Lyubashevsky 签名思想）并针对理想格结构进行了高效化设计。在性能上，qTESLA 具有结构简洁、实现容易、签名和公钥较小、验证速度快等优点，但相较于 Dilithium 等最新格基签名，公钥略大、参数安全裕度较窄，后期已被 NIST 停止推进。,在 NIST 第二轮中未能胜出，无缘NIST标准化。
LUOV,签名,多变量,Multivariate Quadratic (MQ) Problem,Ward Beullens 等,https://www.esat.kuleuven.be/cosic/pqcrypto/luov/,https://github.com/WardBeullens/LUOV,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round2/LUOV-master/luov.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-2/official-comments/LUOV-round2-official-comment.pdf,LUOV 是一种基于多变量二次方程求解困难（MQ Problem）的后量子签名方案，是经典 UOV方案的轻量化改进版，通过在有限域上引入线性化技术减少密钥与签名尺寸；安全性依赖 MQ 问题的 NP-hard 难解性，性能上签名与验证速度较快、实现简单，但整体安全裕度与抗结构攻击能力弱于格基签名方案。,在 NIST 第二轮中未能胜出，无缘NIST标准化。
MQDSS,签名,多变量,Multivariate Quadratic (MQ) Problem,Simona Samardjiska 等,https://mqdss.org/,https://mqdss.org/files/Reference_Implementation_Ver2point1.zip,https://mqdss.org/files/mqdssVer2point1.pdf,"https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/MQDSS-official-comment.pdf

https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-2/official-comments/MQDSS-round2-official-comment.pdf",MQDSS 是一种基于多变量二次方程（MQ）困难问题的后量子数字签名，源自 SSH 5-pass 身份识别并用 Fiat–Shamir（q² 变体）去交互化，安全性依赖随机 MQ 难解与承诺/哈希假设；与格基方案（如 Dilithium）相比实现更朴素、公钥与私钥较小，但签名更大、验签更慢。,在 NIST 第二轮中未能胜出，无缘NIST标准化。
RQC,密钥封装,编码,Rank Syndrome Decoding (RSD) problem of Gabidulin code and Rank Quasi-Cyclic/ideal rank codes,Carlos Aguilar Melchor 等,https://pqc-rqc.org/,https://pqc-rqc.org/doc/rqc-reference-implementation_2020-04-21.zip,https://pqc-rqc.org/doc/rqc-specification_2020-04-21.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/RQC-official-comment.pdf,RQC 是一种基于秩度量与理想秩码的编码类密钥封装方案（KEM），安全性依赖于理想秩综合译码困难，具有零解密失败率并能在参数与带宽上优于多数汉明度量的代码方案，但属于相对较新的方向；总体上公钥/密文较紧凑、实现高效且可通过紧致的 KEM-DEM 转换达到 IND-CCA2。,在 NIST 第二轮中未能胜出，无缘NIST标准化。
